No.,所属省级行政区,行政区类型,行政区划名称,Skipper,Kowalski,Private,Rico
1,北京市,直辖市,北京市,Y,Y,Y,Y
2,天津市,直辖市,天津市,Y,Y,,
3,上海市,直辖市,上海市,Y,Y,Y,Y
4,重庆市,直辖市,重庆市,Y,,,Y
5,香港特别行政区,特别行政区,香港特别行政区,,Y,,
6,澳门特别行政区,特别行政区,澳门特别行政区,,Y,,
7,安徽省,地级市,安庆市,,,,
8,安徽省,地级市,蚌埠市,,,,
9,安徽省,地级市,亳州市,,,,
10,安徽省,地级市,池州市,,,,
11,安徽省,地级市,滁州市,,,,
12,安徽省,地级市,阜阳市,,,,
13,安徽省,地级市,合肥市,,,,Y
14,安徽省,地级市,淮北市,,,,
15,安徽省,地级市,淮南市,,,,
16,安徽省,地级市,黄山市,Y,,,Y
17,安徽省,地级市,六安市,,,,
18,安徽省,地级市,马鞍山市,,,,
19,安徽省,地级市,宿州市,,,,
20,安徽省,地级市,铜陵市,,,,
21,安徽省,地级市,芜湖市,,,,
22,安徽省,地级市,宣城市,,,,
23,福建省,地级市,福州市,Y,Y,,
24,福建省,地级市,龙岩市,,,,
25,福建省,地级市,南平市,,,,
26,福建省,地级市,宁德市,,,,
27,福建省,地级市,莆田市,,,,
28,福建省,地级市,泉州市,,Y,,
29,福建省,地级市,三明市,,,,
30,福建省,地级市,厦门市,Y,Y,,Y
31,福建省,地级市,漳州市,,,,
32,甘肃省,地级市,白银市,,,,
33,甘肃省,地级市,定西市,,,,
34,甘肃省,地级市,嘉峪关市,,,,
35,甘肃省,地级市,金昌市,,,,
36,甘肃省,地级市,酒泉市,,,,Y
37,甘肃省,地级市,兰州市,Y,,Y,
38,甘肃省,地级市,陇南市,,,,
39,甘肃省,地级市,平凉市,,,,
40,甘肃省,地级市,庆阳市,,,,
41,甘肃省,地级市,天水市,,,,
42,甘肃省,地级市,武威市,,,,
43,甘肃省,地级市,张掖市,,,,Y
44,甘肃省,自治州,甘南藏族自治州,,,,
45,甘肃省,自治州,临夏回族自治州,,,,
46,广东省,地级市,潮州市,,,,Y
47,广东省,地级市,东莞市,,Y,,
48,广东省,地级市,佛山市,,,,Y
49,广东省,地级市,广州市,Y,Y,Y,Y
50,广东省,地级市,河源市,,,,
51,广东省,地级市,惠州市,,Y,,Y
52,广东省,地级市,江门市,,,,Y
53,广东省,地级市,揭阳市,,,,
54,广东省,地级市,茂名市,,Y,,
55,广东省,地级市,梅州市,,,,
56,广东省,地级市,清远市,,,,Y
57,广东省,地级市,汕头市,,,,Y
58,广东省,地级市,汕尾市,,,,Y
59,广东省,地级市,韶关市,,,,
60,广东省,地级市,深圳市,Y,Y,Y,Y
61,广东省,地级市,阳江市,,,,Y
62,广东省,地级市,云浮市,,,,
63,广东省,地级市,湛江市,,Y,,Y
64,广东省,地级市,肇庆市,,,,
65,广东省,地级市,中山市,,Y,,Y
66,广东省,地级市,珠海市,,,,Y
67,广西壮族自治区,地级市,百色市,,,,Y
68,广西壮族自治区,地级市,北海市,,,,Y
69,广西壮族自治区,地级市,崇左市,,,,Y
70,广西壮族自治区,地级市,防城港市,,,,
71,广西壮族自治区,地级市,贵港市,,,,
72,广西壮族自治区,地级市,桂林市,,Y,,Y
73,广西壮族自治区,地级市,河池市,,,,
74,广西壮族自治区,地级市,贺州市,,,,
75,广西壮族自治区,地级市,来宾市,,,,
76,广西壮族自治区,地级市,柳州市,,,,
77,广西壮族自治区,地级市,南宁市,,,,Y
78,广西壮族自治区,地级市,钦州市,,,,
79,广西壮族自治区,地级市,梧州市,,,,
80,广西壮族自治区,地级市,玉林市,,,,
81,贵州省,地级市,安顺市,,,,Y
82,贵州省,地级市,毕节市,,,,Y
83,贵州省,地级市,贵阳市,,,,Y
84,贵州省,地级市,六盘水市,,,,Y
85,贵州省,地级市,铜仁市,,,,Y
86,贵州省,地级市,遵义市,,,,Y
87,贵州省,自治州,黔东南苗族侗族自治州,,,,Y
88,贵州省,自治州,黔南布依族苗族自治州,,,,Y
89,贵州省,自治州,黔西南布依族苗族自治州,,,,Y
90,海南省,地级市,儋州市,,,,
91,海南省,地级市,海口市,,Y,Y,Y
92,海南省,地级市,三沙市,,,,
93,海南省,地级市,三亚市,Y,Y,Y,Y
94,河北省,地级市,保定市,,,,Y
95,河北省,地级市,沧州市,,,,
96,河北省,地级市,承德市,,,,
97,河北省,地级市,邯郸市,,,,
98,河北省,地级市,衡水市,,,,
99,河北省,地级市,廊坊市,,,,
100,河北省,地级市,秦皇岛市,,,Y,Y
101,河北省,地级市,石家庄市,,Y,,
102,河北省,地级市,唐山市,,,,
103,河北省,地级市,邢台市,,,,
104,河北省,地级市,张家口市,,,,
105,河南省,地级市,安阳市,,,,
106,河南省,地级市,鹤壁市,,,,
107,河南省,地级市,焦作市,,,,
108,河南省,地级市,开封市,,Y,,
109,河南省,地级市,洛阳市,,,,Y
110,河南省,地级市,漯河市,,,,
111,河南省,地级市,南阳市,,,,Y
112,河南省,地级市,平顶山市,,,,Y
113,河南省,地级市,濮阳市,,,,
114,河南省,地级市,三门峡市,,,,
115,河南省,地级市,商丘市,,,,
116,河南省,地级市,新乡市,,,,
117,河南省,地级市,信阳市,,,,
118,河南省,地级市,许昌市,,,,
119,河南省,地级市,郑州市,,,,Y
120,河南省,地级市,周口市,,,,Y
121,河南省,地级市,驻马店市,,,,
122,黑龙江省,地级市,大庆市,Y,Y,Y,Y
123,黑龙江省,地级市,哈尔滨市,Y,Y,Y,Y
124,黑龙江省,地级市,鹤岗市,,,,
125,黑龙江省,地级市,黑河市,,,,
126,黑龙江省,地级市,鸡西市,,,,Y
127,黑龙江省,地级市,佳木斯市,,,,Y
128,黑龙江省,地级市,牡丹江市,Y,Y,Y,Y
129,黑龙江省,地级市,七台河市,,,,
130,黑龙江省,地级市,齐齐哈尔市,,Y,,
131,黑龙江省,地级市,双鸭山市,,,,
132,黑龙江省,地级市,绥化市,Y,Y,Y,Y
133,黑龙江省,地级市,伊春市,Y,,,
134,黑龙江省,地区,大兴安岭地区,,,,
135,湖北省,地级市,鄂州市,,,,
136,湖北省,地级市,黄冈市,,,,
137,湖北省,地级市,黄石市,,,,
138,湖北省,地级市,荆门市,,,,
139,湖北省,地级市,荆州市,,,,
140,湖北省,地级市,十堰市,,,,
141,湖北省,地级市,随州市,,,,
142,湖北省,地级市,武汉市,Y,Y,,Y
143,湖北省,地级市,咸宁市,,,,
144,湖北省,地级市,襄阳市,,,,Y
145,湖北省,地级市,孝感市,,,,
146,湖北省,地级市,宜昌市,,,,
147,湖北省,自治州,恩施土家族苗族自治州,,,,
148,湖南省,地级市,常德市,,,,Y
149,湖南省,地级市,郴州市,,,,
150,湖南省,地级市,衡阳市,,,,
151,湖南省,地级市,怀化市,,,,
152,湖南省,地级市,娄底市,,,,
153,湖南省,地级市,邵阳市,,,,
154,湖南省,地级市,湘潭市,,,,
155,湖南省,地级市,益阳市,,,,
156,湖南省,地级市,永州市,,,,
157,湖南省,地级市,岳阳市,,Y,,
158,湖南省,地级市,张家界市,Y,,,Y
159,湖南省,地级市,长沙市,Y,Y,,Y
160,湖南省,地级市,株洲市,,,,
161,湖南省,自治州,湘西土家族苗族自治州,Y,,,Y
162,吉林省,地级市,白城市,,,,
163,吉林省,地级市,白山市,,,,
164,吉林省,地级市,吉林市,,,,
165,吉林省,地级市,辽源市,,,,
166,吉林省,地级市,四平市,,,,
167,吉林省,地级市,松原市,,,,
168,吉林省,地级市,通化市,,,,
169,吉林省,地级市,长春市,,Y,,
170,吉林省,自治州,延边朝鲜族自治州,,Y,,Y
171,江苏省,地级市,常州市,Y,,,Y
172,江苏省,地级市,淮安市,,,,
173,江苏省,地级市,连云港市,,,,
174,江苏省,地级市,南京市,Y,Y,Y,Y
175,江苏省,地级市,南通市,Y,,,
176,江苏省,地级市,苏州市,Y,Y,Y,Y
177,江苏省,地级市,宿迁市,,,,
178,江苏省,地级市,泰州市,,,,
179,江苏省,地级市,无锡市,Y,,,Y
180,江苏省,地级市,徐州市,,,,Y
181,江苏省,地级市,盐城市,,,,Y
182,江苏省,地级市,扬州市,Y,Y,,
183,江苏省,地级市,镇江市,Y,,,
184,江西省,地级市,抚州市,,,,
185,江西省,地级市,赣州市,Y,,,
186,江西省,地级市,吉安市,,,,
187,江西省,地级市,景德镇市,,,,
188,江西省,地级市,九江市,,,,Y
189,江西省,地级市,南昌市,,,,Y
190,江西省,地级市,萍乡市,,,,
191,江西省,地级市,上饶市,Y,,,Y
192,江西省,地级市,新余市,,,,Y
193,江西省,地级市,宜春市,,,,
194,江西省,地级市,鹰潭市,,,,
195,辽宁省,地级市,鞍山市,Y,Y,,Y
196,辽宁省,地级市,本溪市,,,,
197,辽宁省,地级市,朝阳市,,,,
198,辽宁省,地级市,大连市,Y,Y,Y,Y
199,辽宁省,地级市,丹东市,,,,
200,辽宁省,地级市,抚顺市,Y,,,
201,辽宁省,地级市,阜新市,,,,
202,辽宁省,地级市,葫芦岛市,,,,
203,辽宁省,地级市,锦州市,Y,Y,,Y
204,辽宁省,地级市,辽阳市,,,,
205,辽宁省,地级市,盘锦市,,,,
206,辽宁省,地级市,沈阳市,Y,Y,,Y
207,辽宁省,地级市,铁岭市,Y,,,
208,辽宁省,地级市,营口市,,,,
209,内蒙古自治区,地级市,巴彦淖尔市,,,,
210,内蒙古自治区,地级市,包头市,,,,
211,内蒙古自治区,地级市,赤峰市,,,,
212,内蒙古自治区,地级市,鄂尔多斯市,,,,
213,内蒙古自治区,地级市,呼和浩特市,,,,
214,内蒙古自治区,地级市,呼伦贝尔市,,Y,,
215,内蒙古自治区,地级市,通辽市,,,,
216,内蒙古自治区,地级市,乌海市,,,,
217,内蒙古自治区,地级市,乌兰察布市,,,,
218,内蒙古自治区,盟,阿拉善盟,,,,
219,内蒙古自治区,盟,锡林郭勒盟,,,,
220,内蒙古自治区,盟,兴安盟,,Y,,
221,宁夏回族自治区,地级市,固原市,,,,
222,宁夏回族自治区,地级市,石嘴山市,,,,
223,宁夏回族自治区,地级市,吴忠市,,,,
224,宁夏回族自治区,地级市,银川市,,,,
225,宁夏回族自治区,地级市,中卫市,,,,
226,青海省,地级市,海东市,,,,
227,青海省,地级市,西宁市,Y,,,Y
228,青海省,自治州,果洛藏族自治州,,,,
229,青海省,自治州,海北藏族自治州,,,,
230,青海省,自治州,海南藏族自治州,,,,
231,青海省,自治州,海西蒙古族藏族自治州,,,,
232,青海省,自治州,黄南藏族自治州,,,,
233,青海省,自治州,玉树藏族自治州,,,,
